EmpID,Name,Department,Salary,Experience(Years)
101,Alice,HR,35000.0,1
102,Bob,Finance,45000.0,3
103,Charlie,IT,60000.0,7
104,David,IT,50000.0,5
105,Eve,Finance,,2
106,Frank,HR,42000.0,4
107,Grace,Finance,39000.0,2
108,Helen,IT,70000.0,10
109,Ivy,Finance,48000.0,6
110,Jack,HR,41000.0,3
111,Karen,IT,55000.0,8
112,Leo,Finance,58000.0,9
113,Mona,HR,36000.0,1
114,Nina,Finance,,2
115,Oscar,IT,47000.0,6
116,Paul,HR,40000.0,3
117,Queen,Finance,53000.0,7
118,Raj,Finance,61000.0,12
119,Sam,IT,30000.0,1
120,Tina,HR,46000.0,5
121,Uma,Finance,49500.0,4
122,Victor,IT,72000.0,11
123,Wendy,Finance,39000.0,2
124,Xavier,HR,38000.0,2
125,Yara,IT,51000.0,8
